cntry,essround,dweight,pweight,anweight,sclmeet,wkhtot
BE,10,1.0339676,0.7180754,0.35477406,5,50
BE,10,1.0912099,0.7180754,0.5150562,6,40
BE,10,1.0466028,0.7180754,0.39059186,4,55
BE,10,0.90990996,0.7180754,0.74334186,7,7
BE,10,0.91925496,0.7180754,0.46589088,4,40
BE,10,0.90351087,0.7180754,1.4610597,4,8
BE,10,0.9173982,0.7180754,0.64740527,6,40
BE,10,0.92951554,0.7180754,0.6964446,6,40
BE,10,0.9137402,0.7180754,1.2608742,6,888
BE,10,1.0300072,0.7180754,0.5061051,6,55
BE,10,0.9173982,0.7180754,0.9383686,6,45
BE,10,0.91925496,0.7180754,0.4890757,6,45
BE,10,0.90990996,0.7180754,0.7220717,5,40
BE,10,1.0793686,0.7180754,1.3926469,3,666
BE,10,1.0466028,0.7180754,0.7841731,6,38
BE,10,0.90134495,0.7180754,0.3363816,4,60
BE,10,0.90990996,0.7180754,0.46504605,7,30
BE,10,0.9176301,0.7180754,0.39429295,5,32
BE,10,1.0466028,0.7180754,0.39059186,3,40
BE,10,1.0793686,0.7180754,0.8364039,7,17
BE,10,0.91363883,0.7180754,1.2200164,4,40
BE,10,1.0466028,0.7180754,0.58081245,7,43
BE,10,1.0594689,0.7180754,0.5369532,4,666
BE,10,1.0793686,0.7180754,1.3926469,7,666
BE,10,0.9137402,0.7180754,0.45967197,5,60
BE,10,0.92951554,0.7180754,0.60258675,6,38
BE,10,1.0594689,0.7180754,0.8407555,4,38
BE,10,1.0476425,0.7180754,0.68837917,5,32
BE,10,1.0877413,0.7180754,0.48949835,6,43
BE,10,0.94597024,0.7180754,0.7818722,6,38
BE,10,0.915067,0.7180754,0.43663853,6,32
BE,10,1.0912099,0.7180754,0.45750445,4,45
BE,10,0.9176301,0.7180754,0.44761622,6,33
BE,10,0.91878974,0.7180754,0.42794675,3,50
BE,10,1.0339676,0.7180754,0.89877367,4,15
BE,10,1.0476425,0.7180754,0.6793515,4,48
BE,10,0.9660232,0.7180754,1.3917439,6,666
BE,10,1.0339676,0.7180754,0.50593406,6,12
BE,10,1.0466028,0.7180754,0.7841731,6,46
BE,10,1.1353306,0.7180754,1.0048729,7,666
BE,10,1.0594689,0.7180754,0.6913477,7,666
BE,10,1.0793686,0.7180754,1.2973539,5,45
BE,10,1.0594689,0.7180754,0.68362355,4,40
BE,10,0.9137402,0.7180754,1.167517,4,33
BE,10,1.0912099,0.7180754,0.92864215,6,666
BE,10,1.0339676,0.7180754,0.4271301,4,39
BE,10,0.9189426,0.7180754,0.3852791,6,42
BE,10,1.0912099,0.7180754,0.58543974,6,50
BE,10,1.0476425,0.7180754,0.6793515,7,38
BE,10,1.0594689,0.7180754,0.44148636,6,55
BE,10,1.0912099,0.7180754,0.58471096,5,46
BE,10,1.0793686,0.7180754,0.8364039,5,40
BE,10,0.9451825,0.7180754,0.47903132,4,20
BE,10,1.0594689,0.7180754,0.44148636,3,48
BE,10,0.915067,0.7180754,0.74454594,4,10
BE,10,0.91887796,0.7180754,0.370346,5,42
BE,10,0.8810745,0.7180754,0.66602975,4,32
BE,10,1.06315,0.7180754,0.30755085,4,45
BE,10,1.0594689,0.7180754,0.6797546,4,32
BE,10,1.0594689,0.7180754,0.43779206,4,20
BE,10,1.0476425,0.7180754,0.8290785,3,0
BE,10,1.0476425,0.7180754,0.486872,6,55
BE,10,1.1353306,0.7180754,0.5325856,6,60
BE,10,1.0594689,0.7180754,0.6855626,6,666
BE,10,0.88447994,0.7180754,0.5320276,6,70
BE,10,1.0466028,0.7180754,1.6691594,6,666
BE,10,0.90990996,0.7180754,0.5887862,6,32
BE,10,0.9008074,0.7180754,0.4113046,4,38
BE,10,1.0877413,0.7180754,0.8302912,6,35
BE,10,1.0594689,0.7180754,0.43779206,4,35
BE,10,1.0877413,0.7180754,0.521777,3,40
BE,10,1.0300072,0.7180754,0.4978053,6,75
BE,10,1.0300072,0.7180754,0.668943,6,30
BE,10,0.91887796,0.7180754,0.7594799,5,38
BE,10,0.90990996,0.7180754,0.588724,4,45
BE,10,1.0300072,0.7180754,1.3734916,6,48
BE,10,0.9430348,0.7180754,1.4229718,4,40
BE,10,0.9173982,0.7180754,0.64740527,6,8
BE,10,0.915067,0.7180754,0.40962693,6,36
BE,10,1.0877413,0.7180754,2.8723047,6,8
BE,10,1.0793686,0.7180754,0.70080316,6,888
BE,10,0.8985712,0.7180754,0.65513426,6,38
BE,10,1.0912099,0.7180754,0.93643034,6,666
BE,10,1.0339676,0.7180754,0.4250325,6,42
BE,10,0.8810745,0.7180754,0.4158714,5,38
BE,10,1.0877413,0.7180754,0.8897226,2,18
BE,10,0.9176301,0.7180754,0.39429295,5,66
BE,10,1.0466028,0.7180754,0.62825555,5,40
BE,10,1.0339676,0.7180754,0.89877367,4,20
BE,10,1.0877413,0.7180754,0.9268394,5,28
BE,10,1.0594689,0.7180754,0.6797546,6,40
BE,10,1.0594689,0.7180754,0.43779206,7,38
BE,10,0.94684553,0.7180754,1.6308104,7,12
BE,10,0.91925496,0.7180754,0.38305852,4,24
BE,10,0.92516845,0.7180754,0.82582444,6,19
BE,10,0.9430348,0.7180754,0.8049665,7,37
BE,10,1.0594689,0.7180754,0.677903,6,38
BE,10,1.0339676,0.7180754,0.60612804,6,666
BE,10,1.06315,0.7180754,0.5238234,6,40
BE,10,0.88447994,0.7180754,0.7688314,6,21
BE,10,1.06315,0.7180754,0.7009388,6,38
BE,10,1.0594689,0.7180754,0.6797546,7,43
BE,10,0.8975891,0.7180754,1.4305028,4,30
BE,10,0.91887796,0.7180754,0.46225667,6,666
BE,10,0.91363883,0.7180754,1.098154,3,38
BE,10,0.90582544,0.7180754,0.58448464,3,50
BE,10,1.0476425,0.7180754,0.6793515,6,40
BE,10,0.8807641,0.7180754,0.85197604,6,40
BE,10,0.93126607,0.7180754,0.595872,1,32
BE,10,1.0339676,0.7180754,0.6219464,4,46
BE,10,1.0339676,0.7180754,0.4271301,3,39
BE,10,0.8807641,0.7180754,0.36927235,2,70
BE,10,1.0877413,0.7180754,2.4909775,3,888
BE,10,1.0877413,0.7180754,0.9268394,6,40
BE,10,1.06315,0.7180754,0.7460475,4,50
BE,10,1.0594689,0.7180754,0.6854906,4,50
BE,10,0.91075015,0.7180754,1.3139235,5,666
BE,10,1.0300072,0.7180754,0.68009627,6,37
BE,10,0.91564906,0.7180754,0.9365795,5,1
BE,10,1.06315,0.7180754,0.731349,7,666
BE,10,0.90134495,0.7180754,0.46316555,4,50
BE,10,1.0466028,0.7180754,0.58081245,3,38
BE,10,0.9451825,0.7180754,0.7437861,6,45
BE,10,1.0466028,0.7180754,0.6784926,6,30
BE,10,0.9660232,0.7180754,0.78420764,2,0
BE,10,1.0594689,0.7180754,1.0525712,3,888
BE,10,0.90990996,0.7180754,0.58220774,7,40
BE,10,0.8965803,0.7180754,0.63184184,5,42
BE,10,1.0300072,0.7180754,0.4978053,4,50
BE,10,1.0594689,0.7180754,0.677903,6,38
BE,10,1.0594689,0.7180754,0.6855626,5,38
BE,10,1.0339676,0.7180754,0.6219464,5,54
BE,10,0.8985712,0.7180754,1.2890251,6,39
BE,10,1.0877413,0.7180754,2.8723047,4,666
BE,10,0.9457952,0.7180754,0.5193908,5,7
BE,10,0.9525171,0.7180754,0.46607924,6,11
BE,10,1.0466028,0.7180754,1.6691594,4,666
BE,10,1.0793686,0.7180754,1.4413204,7,40
BE,10,0.91075015,0.7180754,0.9052615,5,13
BE,10,1.0476425,0.7180754,0.65457416,4,45
BE,10,1.0877413,0.7180754,2.3368788,2,39
BE,10,1.0594689,0.7180754,0.6913477,5,10
BE,10,1.0594689,0.7180754,0.86552304,7,666
