essround,cntry,tvtot,sclmeet,wkhtot,dweight,pweight
3,AT,5,4,40,1.2429,0.28911608
3,AT,4,4,40,0.8286,0.28911608
3,AT,7,5,45,1.2429,0.28911608
3,AT,2,4,30,1.2429,0.28911608
3,AT,0,6,55,0.4143,0.28911608
3,AT,7,7,888,0.4143,0.28911608
3,AT,4,4,10,1.2429,0.28911608
3,AT,7,6,40,0.4143,0.28911608
3,AT,5,4,41,0.8286,0.28911608
3,AT,6,5,39,1.2429,0.28911608
3,AT,6,6,20,0.4143,0.28911608
3,AT,7,7,40,1.2429,0.28911608
3,AT,7,5,60,0.8286,0.28911608
3,AT,5,6,38,0.8286,0.28911608
3,AT,7,6,888,0.4143,0.28911608
3,AT,4,1,666,0.4143,0.28911608
3,AT,6,2,25,1.2429,0.28911608
3,AT,6,5,38,0.8286,0.28911608
3,AT,2,3,888,0.8286,0.28911608
3,AT,7,2,888,0.8286,0.28911608
3,AT,6,2,30,0.8286,0.28911608
3,AT,5,7,41,0.8286,0.28911608
3,AT,4,6,40,0.8286,0.28911608
3,AT,5,6,45,1.2429,0.28911608
3,AT,1,6,32,0.8286,0.28911608
3,AT,1,6,47,2.0715,0.28911608
3,AT,5,3,40,0.8286,0.28911608
3,AT,0,5,20,0.8286,0.28911608
3,AT,3,7,19,2.0715,0.28911608
3,AT,2,4,35,1.2429,0.28911608
3,AT,4,6,42,0.4143,0.28911608
3,AT,6,6,42,0.8286,0.28911608
3,AT,3,6,50,0.8286,0.28911608
3,AT,4,5,50,1.6572,0.28911608
3,AT,5,5,46,0.8286,0.28911608
3,AT,5,3,40,0.8286,0.28911608
3,AT,3,4,888,0.4143,0.28911608
3,AT,7,7,39,1.2429,0.28911608
3,AT,3,6,17,2.0715,0.28911608
3,AT,4,6,888,0.8286,0.28911608
3,AT,2,6,666,1.6572,0.28911608
3,AT,77,4,40,0.8286,0.28911608
3,AT,1,5,60,0.4143,0.28911608
3,AT,5,6,45,1.6572,0.28911608
3,AT,2,6,20,1.6572,0.28911608
3,AT,3,4,35,0.8286,0.28911608
3,AT,7,2,43,0.4143,0.28911608
3,AT,4,6,43,1.6572,0.28911608
3,AT,5,5,42,0.4143,0.28911608
