essround,cntry,dweight,pweight,anweight,sclmeet,wkhtot
8,AT,0.8666936,0.3703929,0.5073304,5,20
8,AT,0.9165599,0.3703929,0.7569091,7,30
8,AT,1.7171739,0.3703929,0.5411611,4,45
8,AT,0.53247005,0.3703929,0.13565263,3,40
8,AT,0.28116843,0.3703929,0.07746409,6,40
8,AT,1.2456154,0.3703929,0.30424744,6,40
8,AT,1.8136505,0.3703929,0.43445793,6,25
8,AT,1.285188,0.3703929,0.31176832,3,46
8,AT,1.1001256,0.3703929,0.2277309,3,40
8,AT,1.3907148,0.3703929,0.27695304,6,45
8,AT,0.8259059,0.3703929,0.19925329,3,40
8,AT,1.3000405,0.3703929,0.7666097,6,666
8,AT,0.8669471,0.3703929,0.24337295,6,48
8,AT,0.78033745,0.3703929,0.23693642,4,30
8,AT,0.81023026,0.3703929,0.19408967,1,45
8,AT,0.66455954,0.3703929,0.19592123,5,20
8,AT,1.1633259,0.3703929,0.9073146,5,42
8,AT,0.8067766,0.3703929,0.19705898,4,45
8,AT,0.826237,0.3703929,0.4836486,3,40
8,AT,0.92304665,0.3703929,0.1493614,5,22
8,AT,0.89853096,0.3703929,0.26440457,6,35
8,AT,1.2294719,0.3703929,0.3444977,4,38
8,AT,0.53665406,0.3703929,0.1367186,6,42
8,AT,0.59028965,0.3703929,0.20022184,6,25
8,AT,1.024643,0.3703929,0.4481366,5,40
8,AT,0.5087625,0.3703929,0.33628553,4,49
8,AT,1.0683297,0.3703929,0.26043913,5,0
8,AT,1.1805792,0.3703929,0.3567047,5,40
8,AT,0.5371167,0.3703929,0.20293465,6,50
8,AT,0.62280774,0.3703929,0.3395046,6,50
8,AT,1.2456154,0.3703929,0.72913766,5,40
8,AT,0.76749814,0.3703929,1.0292722,5,42
8,AT,1.0733081,0.3703929,0.52537805,4,20
8,AT,0.46958333,0.3703929,0.26958087,4,40
8,AT,1.1775224,0.3703929,0.28761536,1,50
8,AT,1.3155863,0.3703929,0.3686271,4,38
8,AT,1.1447827,0.3703929,0.3229522,6,35
8,AT,0.43852878,0.3703929,0.12287572,2,40
8,AT,1.0607901,0.3703929,0.40079015,4,38
8,AT,0.8153884,0.3703929,0.19768557,4,40
8,AT,0.66455954,0.3703929,0.33246833,5,50
8,AT,0.893642,0.3703929,0.2182762,4,38
8,AT,0.53039503,0.3703929,0.20039508,6,40
8,AT,1.0110208,0.3703929,0.77333474,7,40
8,AT,1.7970623,0.3703929,1.0297399,4,40
8,AT,0.5465896,0.3703929,0.14087394,6,35
8,AT,4.3228803,0.3703929,0.82377535,4,40
8,AT,1.6272752,0.3703929,0.796541,4,39
8,AT,0.6574353,0.3703929,0.1891112,6,50
8,AT,0.642594,0.3703929,0.15665258,5,42
8,AT,1.2230827,0.3703929,0.52585673,2,50
8,AT,1.0553485,0.3703929,0.6604557,6,40
8,AT,0.9868556,0.3703929,0.60165757,4,30
8,AT,2.6845434,0.3703929,1.3068548,6,35
8,AT,1.4405575,0.3703929,0.3016799,5,30
8,AT,1.1899725,0.3703929,0.28867054,4,40
8,AT,0.90682524,0.3703929,0.26734456,5,20
8,AT,0.9868557,0.3703929,0.25443795,4,30
8,AT,3.077195,0.3703929,0.88515455,6,41
8,AT,1.868423,0.3703929,0.4563712,6,20
8,AT,0.5953523,0.3703929,0.15167269,3,45
8,AT,0.8605946,0.3703929,0.29190734,4,40
8,AT,2.1392956,0.3703929,0.6035121,5,43
8,AT,0.446821,0.3703929,0.14358032,5,43
8,AT,1.6044718,0.3703929,0.60620505,6,30
8,AT,2.467139,0.3703929,0.7454309,6,40
8,AT,0.89320743,0.3703929,0.27120748,6,50
8,AT,0.58574146,0.3703929,0.27376026,4,45
8,AT,0.6367111,0.3703929,0.20065714,3,42
8,AT,0.46958333,0.3703929,0.23492482,4,40
8,AT,1.3907149,0.3703929,0.6803317,6,70
8,AT,1.017525,0.3703929,0.4980723,3,38
8,AT,1.2498462,0.3703929,0.23700464,5,40
8,AT,1.3148706,0.3703929,0.32116336,4,45
8,AT,0.8259059,0.3703929,0.20925386,3,40
8,AT,1.59741,0.3703929,0.33067086,5,40
8,AT,3.2400272,0.3703929,1.0520384,5,38
8,AT,0.89775264,0.3703929,0.17878243,5,888
8,AT,0.6480055,0.3703929,0.1755037,7,45
8,AT,0.38374907,0.3703929,0.11594748,6,42
8,AT,0.6480055,0.3703929,0.1563341,6,40
8,AT,1.0683297,0.3703929,0.7623836,7,38
8,AT,0.7781752,0.3703929,0.21075855,6,40
8,AT,1.0286992,0.3703929,0.3241908,4,38
8,AT,0.53039503,0.3703929,0.19645447,2,777
8,AT,0.578808,0.3703929,0.29887623,7,54
8,AT,0.9336193,0.3703929,0.26208943,4,45
8,AT,0.8666936,0.3703929,0.44211048,5,39
8,AT,0.3981989,0.3703929,0.22817323,3,40
8,AT,0.6228077,0.3703929,0.1872192,4,45
8,AT,0.93907714,0.3703929,0.2701253,5,20
8,AT,0.7781752,0.3703929,0.33457148,6,60
8,AT,0.69535744,0.3703929,0.26965287,4,4
8,AT,0.6874931,0.3703929,0.17514658,6,666
8,AT,1.1447827,0.3703929,0.3229522,6,40
8,AT,0.87705755,0.3703929,0.6696128,4,38
8,AT,0.59028965,0.3703929,0.17835248,6,70
8,AT,0.51543677,0.3703929,0.3678273,5,30
8,AT,0.8921038,0.3703929,0.17765749,5,25
8,AT,1.8331198,0.3703929,1.4815716,6,666
8,AT,0.6367111,0.3703929,0.20065714,6,45
8,AT,0.77811545,0.3703929,0.19005838,2,38
8,AT,1.0649401,0.3703929,0.34769496,4,40
8,AT,1.3782396,0.3703929,0.36126634,6,45
8,AT,0.39016873,0.3703929,0.12380388,2,20
8,AT,0.50614786,0.3703929,0.12823905,6,666
8,AT,1.3096141,0.3703929,0.2696078,5,35
8,AT,0.8473973,0.3703929,0.3992447,7,11
8,AT,1.0649401,0.3703929,0.6664585,4,50
8,AT,1.59741,0.3703929,0.79830813,6,666
8,AT,2.315232,0.3703929,0.5898314,6,50
8,AT,0.69535744,0.3703929,0.26606646,5,42
8,AT,1.8957866,0.3703929,0.6091873,6,40
8,AT,0.49591443,0.3703929,0.14592923,5,40
8,AT,1.0607901,0.3703929,0.2977893,4,777
8,AT,1.442839,0.3703929,0.40503964,6,45
8,AT,0.7963978,0.3703929,0.23435044,6,50
8,AT,0.8102303,0.3703929,0.22857234,5,16
8,AT,0.52287936,0.3703929,0.12268945,7,35
8,AT,0.43852878,0.3703929,0.12287572,7,50
8,AT,1.1065404,0.3703929,0.35929424,6,40
8,AT,1.285188,0.3703929,0.31176832,6,888
8,AT,1.1410472,0.3703929,0.34476042,2,60
8,AT,1.7171739,0.3703929,0.5411611,6,45
8,AT,0.65743524,0.3703929,0.1891112,6,40
8,AT,0.5887611,0.3703929,0.16935709,4,39
8,AT,0.78033745,0.3703929,0.23577431,4,50
8,AT,0.46499035,0.3703929,0.13117744,5,40
8,AT,0.50614786,0.3703929,0.10419976,6,45
8,AT,0.48018587,0.3703929,0.11842576,4,17
8,AT,0.8666936,0.3703929,1.1011163,6,42
8,AT,0.9603716,0.3703929,0.4488524,3,38
8,AT,0.6228077,0.3703929,0.23993318,1,50
8,AT,0.5887611,0.3703929,0.4957593,5,40
8,AT,0.5426262,0.3703929,0.3872302,4,47
8,AT,0.6850936,0.3703929,0.13055265,5,22
8,AT,1.5563504,0.3703929,0.4215171,7,40
8,AT,0.43347356,0.3703929,0.1366076,6,40
8,AT,1.2411673,0.3703929,0.3010896,4,50
8,AT,1.1775224,0.3703929,0.453634,1,50
8,AT,0.6480055,0.3703929,0.27860588,7,40
8,AT,1.0852524,0.3703929,0.22465208,4,35
8,AT,0.5117399,0.3703929,0.16081522,7,40
8,AT,0.61473596,0.3703929,0.17224886,7,45
8,AT,0.93907714,0.3703929,0.6934452,5,40
8,AT,1.296011,0.3703929,0.2668076,5,35
8,AT,1.3701872,0.3703929,0.22171472,5,40
8,AT,0.82635325,0.3703929,0.23653454,3,23
8,AT,0.54101247,0.3703929,0.111377314,4,25
8,AT,1.0820249,0.3703929,0.35133398,6,15
8,AT,2.3611584,0.3703929,0.6087698,6,777
8,AT,1.778586,0.3703929,0.45062774,2,45
8,AT,1.7955053,0.3703929,0.34047642,5,40
8,AT,1.2308779,0.3703929,0.30064774,5,22
8,AT,1.1899725,0.3703929,0.51444495,5,70
8,AT,0.38978845,0.3703929,0.09613148,6,10
8,AT,1.1693654,0.3703929,0.30138353,6,10
8,AT,1.1784298,0.3703929,0.24394023,4,42
8,AT,0.89775264,0.3703929,0.17023821,2,40
8,AT,0.8067766,0.3703929,0.19705898,4,40
8,AT,0.5087625,0.3703929,0.16610709,5,40
8,AT,0.9068252,0.3703929,0.2857826,6,42
8,AT,0.9068252,0.3703929,0.520595,5,888
8,AT,1.3782396,0.3703929,0.33795792,6,48
8,AT,0.5087625,0.3703929,0.10531608,6,35
8,AT,1.8136504,0.3703929,0.43445793,5,30
